meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1275,9840,63,1,,,31.463,29.186,227.0,277,True,,"[2064, 2064, 2051, 2049, 2049, 2051, 2051, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2051]","[2049, 2049, 2049, 2049, 2051, 2049, 2051, 2051]",149.0
1275,9840,27,1,2025-11-28T13:30:04.942000+00:00,,32.792,27.517,211.0,255,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2051, 2051, 2051, 2051, 2049, 2051, 2051, 2049]",132.0
1275,9840,30,1,2025-11-28T13:30:10.141000+00:00,,32.485,29.145,223.0,263,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]",79.0
1275,9840,6,1,2025-11-28T13:30:17.166000+00:00,,31.71,29.657,220.0,253,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2049, 2049, 2049, 2049]",89.0
1275,9840,31,1,2025-11-28T13:30:26.202000+00:00,,33.46,27.527,176.0,258,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2051, 2051]",83.0
1275,9840,1,1,2025-11-28T13:30:37.626000+00:00,,30.91,31.626,237.0,256,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2051]","[2049, 2051, 2049, 2051, 2051, 2051, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2051, 2051]",130.0
1275,9840,87,1,2025-11-28T13:30:47.951000+00:00,,31.039,27.621,226.0,258,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2051, 2049, 2049, 2049, 2049]","[2051, 2051, 2051, 2051, 2049, 2049, 2049, 2049]",156.0
1275,9840,12,1,2025-11-28T13:30:54.263000+00:00,,32.386,28.179,216.0,266,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",127.0
1275,9840,22,1,2025-11-28T13:31:02.717000+00:00,,31.866,27.133,215.0,264,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049]",97.0
1275,9840,43,1,2025-11-28T13:31:09.007000+00:00,,31.609,27.973,225.0,256,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",95.0
