date,session_key,driver_number,meeting_key,pit_duration,lap_number
2025-02-26T07:00:03.919000+00:00,9683,12,1253,,1
2025-02-26T07:00:14.061000+00:00,9683,14,1253,,1
2025-02-26T07:00:27.627000+00:00,9683,27,1253,,1
2025-02-26T07:00:40.874000+00:00,9683,22,1253,,1
2025-02-26T07:00:58.584000+00:00,9683,44,1253,,1
2025-02-26T07:01:12.698000+00:00,9683,7,1253,,1
2025-02-26T07:01:22.912000+00:00,9683,30,1253,,1
2025-02-26T07:01:35.760000+00:00,9683,81,1253,,1
2025-02-26T07:01:44.968000+00:00,9683,87,1253,,1
2025-02-26T07:03:59.112000+00:00,9683,7,1253,35.0,2
2025-02-26T07:07:11.719000+00:00,9683,23,1253,,1
2025-02-26T07:07:58.994000+00:00,9683,22,1253,83.9,4
2025-02-26T07:09:28.294000+00:00,9683,12,1253,30.3,6
2025-02-26T07:14:35.992000+00:00,9683,22,1253,41.7,7
2025-02-26T07:14:56.343000+00:00,9683,14,1253,648.1,3
2025-02-26T07:15:37.110000+00:00,9683,23,1253,381.2,2
2025-02-26T07:16:33.245000+00:00,9683,81,1253,783.4,2
2025-02-26T07:16:56.440000+00:00,9683,7,1253,653.1,3
2025-02-26T07:18:32.369000+00:00,9683,23,1253,58.9,3
2025-02-26T07:20:33.201000+00:00,9683,87,1253,1018.5,2
2025-02-26T07:21:51.311000+00:00,9683,23,1253,82.2,4
2025-02-26T07:23:07.131000+00:00,9683,81,1253,282.5,3
2025-02-26T07:25:25.922000+00:00,9683,81,1253,30.0,4
2025-02-26T07:25:49.658000+00:00,9683,27,1253,1409.6,2
2025-02-26T07:29:08.610000+00:00,9683,7,1253,33.4,9
2025-02-26T07:30:54.772000+00:00,9683,44,1253,1260.1,6
2025-02-26T07:31:39.336000+00:00,9683,27,1253,37.2,5
2025-02-26T07:32:36.834000+00:00,9683,30,1253,1466.8,5
2025-02-26T07:34:17.588000+00:00,9683,81,1253,420.5,5
2025-02-26T07:34:58.538000+00:00,9683,23,1253,675.5,5
2025-02-26T07:35:02.465000+00:00,9683,22,1253,878.8,10
2025-02-26T07:37:39.239000+00:00,9683,27,1253,27.1,8
2025-02-26T07:38:57.049000+00:00,9683,87,1253,612.0,7
2025-02-26T07:40:04.515000+00:00,9683,14,1253,1278.1,5
2025-02-26T07:40:41.192000+00:00,9683,44,1253,35.4,11
