date,session_key,position,meeting_key,driver_number
2025-02-26T06:46:40.699000+00:00,9683,1,1253,1
2025-02-26T06:46:40.699000+00:00,9683,2,1253,4
2025-02-26T06:46:40.699000+00:00,9683,3,1253,5
2025-02-26T06:46:40.699000+00:00,9683,4,1253,6
2025-02-26T06:46:40.699000+00:00,9683,5,1253,7
2025-02-26T06:46:40.699000+00:00,9683,6,1253,10
2025-02-26T06:46:40.699000+00:00,9683,7,1253,12
2025-02-26T06:46:40.699000+00:00,9683,8,1253,14
2025-02-26T06:46:40.699000+00:00,9683,9,1253,16
2025-02-26T06:46:40.699000+00:00,9683,10,1253,18
2025-02-26T06:46:40.699000+00:00,9683,11,1253,22
2025-02-26T06:46:40.699000+00:00,9683,12,1253,23
2025-02-26T06:46:40.699000+00:00,9683,13,1253,27
2025-02-26T06:46:40.699000+00:00,9683,14,1253,30
2025-02-26T06:46:40.699000+00:00,9683,15,1253,31
2025-02-26T06:46:40.699000+00:00,9683,16,1253,44
2025-02-26T06:46:40.699000+00:00,9683,17,1253,55
2025-02-26T06:46:40.699000+00:00,9683,18,1253,63
2025-02-26T06:46:40.699000+00:00,9683,19,1253,81
2025-02-26T06:46:40.699000+00:00,9683,20,1253,87
2025-02-26T07:00:03.768000+00:00,9683,2,1253,1
2025-02-26T07:00:03.768000+00:00,9683,3,1253,4
2025-02-26T07:00:03.768000+00:00,9683,4,1253,5
2025-02-26T07:00:03.768000+00:00,9683,5,1253,6
2025-02-26T07:00:03.768000+00:00,9683,6,1253,7
2025-02-26T07:00:03.768000+00:00,9683,7,1253,10
2025-02-26T07:00:03.768000+00:00,9683,1,1253,12
2025-02-26T07:00:13.872000+00:00,9683,3,1253,1
2025-02-26T07:00:13.872000+00:00,9683,4,1253,4
2025-02-26T07:00:13.872000+00:00,9683,5,1253,5
2025-02-26T07:00:13.872000+00:00,9683,6,1253,6
2025-02-26T07:00:13.872000+00:00,9683,7,1253,7
2025-02-26T07:00:13.872000+00:00,9683,8,1253,10
2025-02-26T07:00:13.872000+00:00,9683,2,1253,14
2025-02-26T07:00:27.507000+00:00,9683,4,1253,1
2025-02-26T07:00:27.507000+00:00,9683,5,1253,4
2025-02-26T07:00:27.507000+00:00,9683,6,1253,5
2025-02-26T07:00:27.507000+00:00,9683,7,1253,6
2025-02-26T07:00:27.507000+00:00,9683,8,1253,7
2025-02-26T07:00:27.507000+00:00,9683,9,1253,10
2025-02-26T07:00:27.507000+00:00,9683,10,1253,16
2025-02-26T07:00:27.507000+00:00,9683,11,1253,18
2025-02-26T07:00:27.507000+00:00,9683,12,1253,22
2025-02-26T07:00:27.507000+00:00,9683,13,1253,23
2025-02-26T07:00:27.507000+00:00,9683,3,1253,27
2025-02-26T07:00:40.756000+00:00,9683,5,1253,1
2025-02-26T07:00:40.756000+00:00,9683,6,1253,4
