date,session_key,meeting_key,driver_number,position
2025-12-06T13:46:34.368000+00:00,9835,1276,63,1
2025-12-06T13:46:34.368000+00:00,9835,1276,4,2
2025-12-06T13:46:34.368000+00:00,9835,1276,1,3
2025-12-06T13:46:34.368000+00:00,9835,1276,14,4
2025-12-06T13:46:34.368000+00:00,9835,1276,81,5
2025-12-06T13:46:34.368000+00:00,9835,1276,31,6
2025-12-06T13:46:34.368000+00:00,9835,1276,87,7
2025-12-06T13:46:34.368000+00:00,9835,1276,16,8
2025-12-06T13:46:34.368000+00:00,9835,1276,12,9
2025-12-06T13:46:34.368000+00:00,9835,1276,23,10
2025-12-06T13:46:34.368000+00:00,9835,1276,5,11
2025-12-06T13:46:34.368000+00:00,9835,1276,55,12
2025-12-06T13:46:34.368000+00:00,9835,1276,27,13
2025-12-06T13:46:34.368000+00:00,9835,1276,18,14
2025-12-06T13:46:34.368000+00:00,9835,1276,30,15
2025-12-06T13:46:34.368000+00:00,9835,1276,6,16
2025-12-06T13:46:34.368000+00:00,9835,1276,10,17
2025-12-06T13:46:34.368000+00:00,9835,1276,44,18
2025-12-06T13:46:34.368000+00:00,9835,1276,43,19
2025-12-06T13:46:34.368000+00:00,9835,1276,22,20
2025-12-06T14:00:03.697000+00:00,9835,1276,63,2
2025-12-06T14:00:03.697000+00:00,9835,1276,4,3
2025-12-06T14:00:03.697000+00:00,9835,1276,1,4
2025-12-06T14:00:03.697000+00:00,9835,1276,14,5
2025-12-06T14:00:03.697000+00:00,9835,1276,81,6
2025-12-06T14:00:03.697000+00:00,9835,1276,31,7
2025-12-06T14:00:03.697000+00:00,9835,1276,87,8
2025-12-06T14:00:03.697000+00:00,9835,1276,16,9
2025-12-06T14:00:03.697000+00:00,9835,1276,12,10
2025-12-06T14:00:03.697000+00:00,9835,1276,23,11
2025-12-06T14:00:03.697000+00:00,9835,1276,5,12
2025-12-06T14:00:03.697000+00:00,9835,1276,55,13
2025-12-06T14:00:03.697000+00:00,9835,1276,27,14
2025-12-06T14:00:03.697000+00:00,9835,1276,18,15
2025-12-06T14:00:03.697000+00:00,9835,1276,30,16
2025-12-06T14:00:03.697000+00:00,9835,1276,6,17
2025-12-06T14:00:03.697000+00:00,9835,1276,10,1
2025-12-06T14:00:10.649000+00:00,9835,1276,63,3
2025-12-06T14:00:10.649000+00:00,9835,1276,4,4
2025-12-06T14:00:10.649000+00:00,9835,1276,1,5
