date,session_key,position,meeting_key,driver_number
2025-11-29T13:17:45.888000+00:00,9845,1,1275,81
2025-11-29T13:17:45.888000+00:00,9845,2,1275,63
2025-11-29T13:17:45.888000+00:00,9845,3,1275,4
2025-11-29T13:17:45.888000+00:00,9845,4,1275,14
2025-11-29T13:17:45.888000+00:00,9845,5,1275,22
2025-11-29T13:17:45.888000+00:00,9845,6,1275,1
2025-11-29T13:17:45.888000+00:00,9845,7,1275,12
2025-11-29T13:17:45.888000+00:00,9845,8,1275,55
2025-11-29T13:17:45.888000+00:00,9845,9,1275,16
2025-11-29T13:17:45.888000+00:00,9845,10,1275,23
2025-11-29T13:17:45.888000+00:00,9845,11,1275,6
2025-11-29T13:17:45.888000+00:00,9845,12,1275,87
2025-11-29T13:17:45.888000+00:00,9845,13,1275,5
2025-11-29T13:17:45.888000+00:00,9845,14,1275,27
2025-11-29T13:17:45.888000+00:00,9845,15,1275,31
2025-11-29T13:17:45.888000+00:00,9845,16,1275,30
2025-11-29T13:17:45.888000+00:00,9845,17,1275,18
2025-11-29T13:17:45.888000+00:00,9845,18,1275,44
2025-11-29T13:17:45.888000+00:00,9845,19,1275,10
2025-11-29T13:17:45.888000+00:00,9845,20,1275,43
2025-11-29T14:03:41.600000+00:00,9845,2,1275,81
2025-11-29T14:03:41.600000+00:00,9845,3,1275,63
2025-11-29T14:03:41.600000+00:00,9845,4,1275,4
2025-11-29T14:03:41.600000+00:00,9845,5,1275,14
2025-11-29T14:03:41.600000+00:00,9845,1,1275,22
2025-11-29T14:03:41.803000+00:00,9845,3,1275,81
2025-11-29T14:03:41.803000+00:00,9845,4,1275,63
2025-11-29T14:03:41.803000+00:00,9845,5,1275,4
2025-11-29T14:03:41.803000+00:00,9845,6,1275,14
2025-11-29T14:03:41.803000+00:00,9845,2,1275,1
2025-11-29T14:03:41.850000+00:00,9845,4,1275,81
2025-11-29T14:03:41.850000+00:00,9845,5,1275,63
2025-11-29T14:03:41.850000+00:00,9845,6,1275,4
2025-11-29T14:03:41.850000+00:00,9845,7,1275,14
2025-11-29T14:03:41.850000+00:00,9845,3,1275,12
2025-11-29T14:03:42.006000+00:00,9845,5,1275,81
2025-11-29T14:03:42.006000+00:00,9845,6,1275,63
2025-11-29T14:03:42.006000+00:00,9845,7,1275,4
2025-11-29T14:03:42.006000+00:00,9845,8,1275,14
2025-11-29T14:03:42.006000+00:00,9845,4,1275,55
2025-11-29T14:03:42.069000+00:00,9845,6,1275,81
2025-11-29T14:03:42.069000+00:00,9845,7,1275,63
2025-11-29T14:03:42.069000+00:00,9845,8,1275,4
2025-11-29T14:03:42.069000+00:00,9845,9,1275,14
2025-11-29T14:03:42.069000+00:00,9845,5,1275,16
2025-11-29T14:03:42.413000+00:00,9845,7,1275,81
2025-11-29T14:03:42.413000+00:00,9845,8,1275,63
2025-11-29T14:03:42.413000+00:00,9845,9,1275,4
2025-11-29T14:03:42.413000+00:00,9845,10,1275,14
2025-11-29T14:03:42.413000+00:00,9845,11,1275,23
2025-11-29T14:03:42.413000+00:00,9845,6,1275,6
2025-11-29T14:03:42.491000+00:00,9845,8,1275,81
2025-11-29T14:03:42.491000+00:00,9845,9,1275,63
2025-11-29T14:03:42.491000+00:00,9845,10,1275,4
2025-11-29T14:03:42.491000+00:00,9845,11,1275,14
2025-11-29T14:03:42.491000+00:00,9845,7,1275,23
2025-11-29T14:03:42.553000+00:00,9845,9,1275,81
2025-11-29T14:03:42.553000+00:00,9845,10,1275,63
2025-11-29T14:03:42.553000+00:00,9845,11,1275,4
2025-11-29T14:03:42.553000+00:00,9845,12,1275,14
2025-11-29T14:03:42.553000+00:00,9845,8,1275,87
2025-11-29T14:03:42.600000+00:00,9845,10,1275,81
2025-11-29T14:03:42.600000+00:00,9845,11,1275,63
2025-11-29T14:03:42.600000+00:00,9845,12,1275,4
2025-11-29T14:03:42.600000+00:00,9845,13,1275,14
2025-11-29T14:03:42.600000+00:00,9845,9,1275,5
2025-11-29T14:03:42.616000+00:00,9845,11,1275,81
2025-11-29T14:03:42.616000+00:00,9845,12,1275,63
2025-11-29T14:03:42.616000+00:00,9845,13,1275,4
2025-11-29T14:03:42.616000+00:00,9845,14,1275,14
2025-11-29T14:03:42.616000+00:00,9845,15,1275,27
2025-11-29T14:03:42.616000+00:00,9845,10,1275,31
2025-11-29T14:03:42.741000+00:00,9845,12,1275,81
2025-11-29T14:03:42.741000+00:00,9845,13,1275,63
2025-11-29T14:03:42.741000+00:00,9845,14,1275,4
2025-11-29T14:03:42.741000+00:00,9845,15,1275,14
2025-11-29T14:03:42.741000+00:00,9845,11,1275,27
2025-11-29T14:03:42.928000+00:00,9845,13,1275,81
2025-11-29T14:03:42.928000+00:00,9845,14,1275,63
2025-11-29T14:03:42.928000+00:00,9845,15,1275,4
2025-11-29T14:03:42.928000+00:00,9845,16,1275,14
2025-11-29T14:03:42.928000+00:00,9845,12,1275,30
2025-11-29T14:03:43.334000+00:00,9845,1,1275,81
2025-11-29T14:03:43.334000+00:00,9845,2,1275,22
2025-11-29T14:03:43.334000+00:00,9845,3,1275,1
2025-11-29T14:03:43.334000+00:00,9845,4,1275,12
2025-11-29T14:03:43.334000+00:00,9845,5,1275,55
2025-11-29T14:03:43.334000+00:00,9845,6,1275,16
2025-11-29T14:03:43.334000+00:00,9845,8,1275,23
2025-11-29T14:03:43.334000+00:00,9845,7,1275,6
2025-11-29T14:03:43.334000+00:00,9845,9,1275,87
2025-11-29T14:03:43.334000+00:00,9845,10,1275,5
2025-11-29T14:03:43.334000+00:00,9845,12,1275,27
2025-11-29T14:03:43.334000+00:00,9845,11,1275,31
2025-11-29T14:03:43.334000+00:00,9845,13,1275,30
2025-11-29T14:03:43.584000+00:00,9845,2,1275,63
2025-11-29T14:03:43.584000+00:00,9845,3,1275,22
2025-11-29T14:03:43.584000+00:00,9845,4,1275,1
2025-11-29T14:03:43.584000+00:00,9845,5,1275,12
2025-11-29T14:03:43.584000+00:00,9845,6,1275,55
2025-11-29T14:03:43.584000+00:00,9845,7,1275,16
2025-11-29T14:03:43.584000+00:00,9845,9,1275,23
2025-11-29T14:03:43.584000+00:00,9845,8,1275,6
2025-11-29T14:03:43.584000+00:00,9845,10,1275,87
2025-11-29T14:03:43.584000+00:00,9845,11,1275,5
2025-11-29T14:03:43.584000+00:00,9845,13,1275,27
2025-11-29T14:03:43.584000+00:00,9845,12,1275,31
2025-11-29T14:03:43.584000+00:00,9845,14,1275,30
2025-11-29T14:03:43.694000+00:00,9845,3,1275,4
2025-11-29T14:03:43.694000+00:00,9845,4,1275,22
2025-11-29T14:03:43.694000+00:00,9845,5,1275,1
2025-11-29T14:03:43.694000+00:00,9845,6,1275,12
2025-11-29T14:03:43.694000+00:00,9845,7,1275,55
2025-11-29T14:03:43.694000+00:00,9845,8,1275,16
2025-11-29T14:03:43.694000+00:00,9845,10,1275,23
2025-11-29T14:03:43.694000+00:00,9845,9,1275,6
2025-11-29T14:03:43.694000+00:00,9845,11,1275,87
2025-11-29T14:03:43.694000+00:00,9845,12,1275,5
2025-11-29T14:03:43.694000+00:00,9845,14,1275,27
2025-11-29T14:03:43.694000+00:00,9845,13,1275,31
2025-11-29T14:03:43.694000+00:00,9845,15,1275,30
2025-11-29T14:03:44.038000+00:00,9845,5,1275,14
2025-11-29T14:03:44.038000+00:00,9845,6,1275,1
2025-11-29T14:03:44.038000+00:00,9845,7,1275,12
2025-11-29T14:03:44.038000+00:00,9845,8,1275,55
2025-11-29T14:03:44.038000+00:00,9845,9,1275,16
2025-11-29T14:03:44.038000+00:00,9845,11,1275,23
2025-11-29T14:03:44.038000+00:00,9845,10,1275,6
2025-11-29T14:03:44.038000+00:00,9845,12,1275,87
2025-11-29T14:03:44.038000+00:00,9845,13,1275,5
2025-11-29T14:03:44.038000+00:00,9845,15,1275,27
2025-11-29T14:03:44.038000+00:00,9845,14,1275,31
2025-11-29T14:03:44.038000+00:00,9845,16,1275,30
2025-11-29T14:03:50.413000+00:00,9845,10,1275,16
2025-11-29T14:03:50.413000+00:00,9845,9,1275,6
2025-11-29T14:03:50.631000+00:00,9845,13,1275,87
2025-11-29T14:03:50.631000+00:00,9845,12,1275,5
2025-11-29T14:03:51.006000+00:00,9845,16,1275,27
2025-11-29T14:03:51.006000+00:00,9845,15,1275,31
2025-11-29T14:03:51.006000+00:00,9845,14,1275,30
2025-11-29T14:03:55.131000+00:00,9845,6,1275,14
2025-11-29T14:03:55.131000+00:00,9845,5,1275,1
2025-11-29T14:03:55.506000+00:00,9845,8,1275,12
2025-11-29T14:03:55.506000+00:00,9845,9,1275,55
2025-11-29T14:03:55.506000+00:00,9845,7,1275,6
2025-11-29T14:03:56.006000+00:00,9845,11,1275,16
2025-11-29T14:03:56.006000+00:00,9845,10,1275,23
2025-11-29T14:03:56.381000+00:00,9845,12,1275,16
2025-11-29T14:03:56.381000+00:00,9845,11,1275,5
2025-11-29T14:04:07.100000+00:00,9845,5,1275,22
2025-11-29T14:04:07.100000+00:00,9845,4,1275,1
2025-11-29T14:04:08.129000+00:00,9845,7,1275,12
2025-11-29T14:04:08.129000+00:00,9845,8,1275,6
2025-11-29T14:04:17.663000+00:00,9845,8,1275,55
2025-11-29T14:04:17.663000+00:00,9845,9,1275,6
2025-11-29T14:04:29.727000+00:00,9845,13,1275,16
2025-11-29T14:04:29.727000+00:00,9845,12,1275,87
2025-11-29T14:18:44.560000+00:00,9845,14,1275,16
2025-11-29T14:18:44.560000+00:00,9845,13,1275,30
2025-11-29T14:19:40.640000+00:00,9845,13,1275,16
2025-11-29T14:19:40.640000+00:00,9845,14,1275,30
2025-11-29T14:20:53.458000+00:00,9845,7,1275,14
2025-11-29T14:20:53.458000+00:00,9845,6,1275,12
2025-11-29T14:22:30.294000+00:00,9845,18,1275,18
2025-11-29T14:22:30.294000+00:00,9845,17,1275,44
2025-11-29T14:22:31.218000+00:00,9845,19,1275,18
2025-11-29T14:22:31.218000+00:00,9845,18,1275,10
2025-11-29T14:22:32.431000+00:00,9845,20,1275,18
2025-11-29T14:22:32.431000+00:00,9845,19,1275,43
2025-11-29T14:28:59.207000+00:00,9845,19,1275,18
2025-11-29T14:28:59.207000+00:00,9845,20,1275,43
2025-11-29T14:30:42.207000+00:00,9845,6,1275,22
2025-11-29T14:30:42.207000+00:00,9845,5,1275,12
2025-11-29T14:33:11.647000+00:00,9845,5,1275,22
2025-11-29T14:33:11.647000+00:00,9845,6,1275,12
