date,session_key,meeting_key,position,driver_number
2025-11-08T17:45:55.576000+00:00,9865,1273,1,4
2025-11-08T17:45:55.576000+00:00,9865,1273,2,81
2025-11-08T17:45:55.576000+00:00,9865,1273,3,27
2025-11-08T17:45:55.576000+00:00,9865,1273,4,14
2025-11-08T17:45:55.576000+00:00,9865,1273,5,5
2025-11-08T17:45:55.576000+00:00,9865,1273,6,63
2025-11-08T17:45:55.576000+00:00,9865,1273,7,10
2025-11-08T17:45:55.576000+00:00,9865,1273,8,55
2025-11-08T17:45:55.576000+00:00,9865,1273,9,6
2025-11-08T17:45:55.576000+00:00,9865,1273,10,12
2025-11-08T17:45:55.576000+00:00,9865,1273,11,30
2025-11-08T17:45:55.576000+00:00,9865,1273,12,23
2025-11-08T17:45:55.576000+00:00,9865,1273,13,31
2025-11-08T17:45:55.576000+00:00,9865,1273,14,87
2025-11-08T17:45:55.576000+00:00,9865,1273,15,18
2025-11-08T17:45:55.576000+00:00,9865,1273,16,43
2025-11-08T17:45:55.576000+00:00,9865,1273,17,1
2025-11-08T17:45:55.576000+00:00,9865,1273,18,16
2025-11-08T17:45:55.576000+00:00,9865,1273,19,44
2025-11-08T17:45:55.576000+00:00,9865,1273,20,22
2025-11-08T18:05:03.131000+00:00,9865,1273,2,4
2025-11-08T18:05:03.131000+00:00,9865,1273,3,81
2025-11-08T18:05:03.131000+00:00,9865,1273,4,27
2025-11-08T18:05:03.131000+00:00,9865,1273,5,14
2025-11-08T18:05:03.131000+00:00,9865,1273,6,5
2025-11-08T18:05:03.131000+00:00,9865,1273,7,63
2025-11-08T18:05:03.131000+00:00,9865,1273,8,10
2025-11-08T18:05:03.131000+00:00,9865,1273,1,55
2025-11-08T18:05:06.063000+00:00,9865,1273,3,4
2025-11-08T18:05:06.063000+00:00,9865,1273,4,81
2025-11-08T18:05:06.063000+00:00,9865,1273,5,27
2025-11-08T18:05:06.063000+00:00,9865,1273,6,14
2025-11-08T18:05:06.063000+00:00,9865,1273,7,5
2025-11-08T18:05:06.063000+00:00,9865,1273,8,63
2025-11-08T18:05:06.063000+00:00,9865,1273,9,10
2025-11-08T18:05:06.063000+00:00,9865,1273,10,6
2025-11-08T18:05:06.063000+00:00,9865,1273,11,12
2025-11-08T18:05:06.063000+00:00,9865,1273,12,30
2025-11-08T18:05:06.063000+00:00,9865,1273,2,23
2025-11-08T18:05:13.511000+00:00,9865,1273,4,4
2025-11-08T18:05:13.511000+00:00,9865,1273,5,81
2025-11-08T18:05:13.511000+00:00,9865,1273,1,27
2025-11-08T18:05:13.511000+00:00,9865,1273,2,55
2025-11-08T18:05:13.511000+00:00,9865,1273,3,23
2025-11-08T18:05:18.603000+00:00,9865,1273,5,4
