date,session_key,driver_number,position,meeting_key
2025-09-20T11:46:24.482000+00:00,9900,4,1,1269
2025-09-20T11:46:24.482000+00:00,9900,1,2,1269
2025-09-20T11:46:24.482000+00:00,9900,81,3,1269
2025-09-20T11:46:24.482000+00:00,9900,44,4,1269
2025-09-20T11:46:24.482000+00:00,9900,12,5,1269
2025-09-20T11:46:24.482000+00:00,9900,63,6,1269
2025-09-20T11:46:24.482000+00:00,9900,23,7,1269
2025-09-20T11:46:24.482000+00:00,9900,87,8,1269
2025-09-20T11:46:24.482000+00:00,9900,30,9,1269
2025-09-20T11:46:24.482000+00:00,9900,16,10,1269
2025-09-20T11:46:24.482000+00:00,9900,6,11,1269
2025-09-20T11:46:24.482000+00:00,9900,27,12,1269
2025-09-20T11:46:24.482000+00:00,9900,55,13,1269
2025-09-20T11:46:24.482000+00:00,9900,14,14,1269
2025-09-20T11:46:24.482000+00:00,9900,43,15,1269
2025-09-20T11:46:24.482000+00:00,9900,22,16,1269
2025-09-20T11:46:24.482000+00:00,9900,31,17,1269
2025-09-20T11:46:24.482000+00:00,9900,5,18,1269
2025-09-20T11:46:24.482000+00:00,9900,10,19,1269
2025-09-20T11:46:24.482000+00:00,9900,18,20,1269
2025-09-20T12:00:03.548000+00:00,9900,4,2,1269
2025-09-20T12:00:03.548000+00:00,9900,1,3,1269
2025-09-20T12:00:03.548000+00:00,9900,81,4,1269
2025-09-20T12:00:03.548000+00:00,9900,44,5,1269
2025-09-20T12:00:03.548000+00:00,9900,12,6,1269
2025-09-20T12:00:03.548000+00:00,9900,63,7,1269
2025-09-20T12:00:03.548000+00:00,9900,23,1,1269
2025-09-20T12:00:08.347000+00:00,9900,4,3,1269
2025-09-20T12:00:08.347000+00:00,9900,1,4,1269
2025-09-20T12:00:08.347000+00:00,9900,81,5,1269
2025-09-20T12:00:08.347000+00:00,9900,44,6,1269
2025-09-20T12:00:08.347000+00:00,9900,12,7,1269
2025-09-20T12:00:08.347000+00:00,9900,63,8,1269
2025-09-20T12:00:08.347000+00:00,9900,87,9,1269
2025-09-20T12:00:08.347000+00:00,9900,30,10,1269
2025-09-20T12:00:08.347000+00:00,9900,16,11,1269
2025-09-20T12:00:08.347000+00:00,9900,6,12,1269
2025-09-20T12:00:08.347000+00:00,9900,27,2,1269
2025-09-20T12:00:13.087000+00:00,9900,4,4,1269
2025-09-20T12:00:13.087000+00:00,9900,1,5,1269
2025-09-20T12:00:13.087000+00:00,9900,81,6,1269
2025-09-20T12:00:13.087000+00:00,9900,44,7,1269
2025-09-20T12:00:13.087000+00:00,9900,12,8,1269
2025-09-20T12:00:13.087000+00:00,9900,63,9,1269
2025-09-20T12:00:13.087000+00:00,9900,87,10,1269
2025-09-20T12:00:13.087000+00:00,9900,30,11,1269
2025-09-20T12:00:13.087000+00:00,9900,16,12,1269
2025-09-20T12:00:13.087000+00:00,9900,6,13,1269
2025-09-20T12:00:13.087000+00:00,9900,55,14,1269
2025-09-20T12:00:13.087000+00:00,9900,14,15,1269
2025-09-20T12:00:13.087000+00:00,9900,43,16,1269
2025-09-20T12:00:13.087000+00:00,9900,22,17,1269
2025-09-20T12:00:13.087000+00:00,9900,31,18,1269
2025-09-20T12:00:13.087000+00:00,9900,5,3,1269
2025-09-20T12:00:20.705000+00:00,9900,4,5,1269
2025-09-20T12:00:20.705000+00:00,9900,1,6,1269
2025-09-20T12:00:20.705000+00:00,9900,81,7,1269
2025-09-20T12:00:20.705000+00:00,9900,44,8,1269
2025-09-20T12:00:20.705000+00:00,9900,12,9,1269
2025-09-20T12:00:20.705000+00:00,9900,63,10,1269
2025-09-20T12:00:20.705000+00:00,9900,87,2,1269
2025-09-20T12:00:20.705000+00:00,9900,27,3,1269
2025-09-20T12:00:20.705000+00:00,9900,5,4,1269
2025-09-20T12:00:25.141000+00:00,9900,4,6,1269
2025-09-20T12:00:25.141000+00:00,9900,1,7,1269
2025-09-20T12:00:25.141000+00:00,9900,81,8,1269
2025-09-20T12:00:25.141000+00:00,9900,44,9,1269
2025-09-20T12:00:25.141000+00:00,9900,12,10,1269
2025-09-20T12:00:25.141000+00:00,9900,63,11,1269
2025-09-20T12:00:25.141000+00:00,9900,30,12,1269
2025-09-20T12:00:25.141000+00:00,9900,16,13,1269
2025-09-20T12:00:25.141000+00:00,9900,6,14,1269
2025-09-20T12:00:25.141000+00:00,9900,55,15,1269
2025-09-20T12:00:25.141000+00:00,9900,14,16,1269
2025-09-20T12:00:25.141000+00:00,9900,43,17,1269
2025-09-20T12:00:25.141000+00:00,9900,22,18,1269
2025-09-20T12:00:25.141000+00:00,9900,31,4,1269
2025-09-20T12:00:25.141000+00:00,9900,5,5,1269
2025-09-20T12:00:31.420000+00:00,9900,4,7,1269
2025-09-20T12:00:31.420000+00:00,9900,1,8,1269
2025-09-20T12:00:31.420000+00:00,9900,81,9,1269
2025-09-20T12:00:31.420000+00:00,9900,44,10,1269
2025-09-20T12:00:31.420000+00:00,9900,12,11,1269
2025-09-20T12:00:31.420000+00:00,9900,63,12,1269
2025-09-20T12:00:31.420000+00:00,9900,30,13,1269
2025-09-20T12:00:31.420000+00:00,9900,16,14,1269
2025-09-20T12:00:31.420000+00:00,9900,6,15,1269
2025-09-20T12:00:31.420000+00:00,9900,55,16,1269
2025-09-20T12:00:31.420000+00:00,9900,14,17,1269
2025-09-20T12:00:31.420000+00:00,9900,43,4,1269
2025-09-20T12:00:31.420000+00:00,9900,31,5,1269
