date,session_key,pressure,meeting_key,track_temperature,wind_direction,wind_speed,rainfall,humidity,air_temperature
2025-12-06T10:15:01.142000+00:00,9834,1017.0,1276,39.2,294,3.0,0,63.0,27.5
2025-12-06T10:16:01.144000+00:00,9834,1016.9,1276,39.3,22,2.1,0,62.0,27.4
2025-12-06T10:17:01.164000+00:00,9834,1017.0,1276,39.3,320,2.1,0,62.0,27.3
2025-12-06T10:18:01.176000+00:00,9834,1016.9,1276,39.0,290,2.1,0,63.0,27.3
2025-12-06T10:19:01.182000+00:00,9834,1016.9,1276,38.7,289,2.5,0,64.0,27.3
2025-12-06T10:20:01.195000+00:00,9834,1016.8,1276,39.3,344,2.6,0,63.0,27.3
2025-12-06T10:21:01.216000+00:00,9834,1016.9,1276,39.3,335,2.3,0,63.0,27.4
2025-12-06T10:22:01.207000+00:00,9834,1016.8,1276,39.0,351,2.7,0,64.0,27.3
2025-12-06T10:23:01.215000+00:00,9834,1016.8,1276,39.0,353,2.2,0,64.0,27.3
2025-12-06T10:24:01.196000+00:00,9834,1016.8,1276,38.8,350,1.9,0,65.0,27.3
2025-12-06T10:25:01.215000+00:00,9834,1016.8,1276,38.9,333,2.4,0,65.0,27.4
2025-12-06T10:26:01.216000+00:00,9834,1016.7,1276,39.0,348,1.9,0,64.0,27.4
2025-12-06T10:27:01.217000+00:00,9834,1016.8,1276,39.2,17,2.2,0,64.0,27.4
2025-12-06T10:28:01.247000+00:00,9834,1016.7,1276,38.9,309,2.1,0,64.0,27.3
2025-12-06T10:29:01.248000+00:00,9834,1016.7,1276,38.9,4,3.1,0,64.0,27.3
2025-12-06T10:30:01.535000+00:00,9834,1016.8,1276,39.1,12,1.9,0,63.0,27.2
2025-12-06T10:31:01.249000+00:00,9834,1016.8,1276,39.0,299,1.9,0,64.0,27.3
2025-12-06T10:32:01.248000+00:00,9834,1016.9,1276,38.8,287,2.1,0,64.0,27.3
2025-12-06T10:33:01.252000+00:00,9834,1016.9,1276,38.5,283,1.8,0,65.0,27.3
2025-12-06T10:34:01.256000+00:00,9834,1016.9,1276,38.7,332,2.2,0,65.0,27.2
2025-12-06T10:35:01.250000+00:00,9834,1016.8,1276,38.7,290,2.1,0,64.0,27.2
2025-12-06T10:36:01.252000+00:00,9834,1016.8,1276,38.1,291,2.1,0,64.0,27.2
2025-12-06T10:37:01.253000+00:00,9834,1016.8,1276,37.8,288,1.9,0,64.0,27.1
2025-12-06T10:38:01.251000+00:00,9834,1016.7,1276,37.8,12,2.3,0,65.0,27.2
2025-12-06T10:39:01.250000+00:00,9834,1016.8,1276,37.7,300,2.1,0,65.0,27.2
2025-12-06T10:40:01.251000+00:00,9834,1016.6,1276,37.7,324,2.0,0,65.0,27.2
2025-12-06T10:41:01.254000+00:00,9834,1016.7,1276,37.9,18,1.8,0,66.0,27.2
2025-12-06T10:42:01.256000+00:00,9834,1016.6,1276,37.9,329,1.4,0,65.0,27.2
2025-12-06T10:43:01.256000+00:00,9834,1016.6,1276,37.8,299,2.8,0,65.0,27.2
2025-12-06T10:44:01.265000+00:00,9834,1016.7,1276,37.7,301,2.1,0,65.0,27.1
2025-12-06T10:45:01.261000+00:00,9834,1016.8,1276,37.7,314,1.7,0,66.0,27.1
2025-12-06T10:46:01.265000+00:00,9834,1016.7,1276,38.2,301,2.3,0,65.0,27.0
