date,session_key,air_temperature,humidity,rainfall,wind_direction,wind_speed,pressure,track_temperature,meeting_key
2025-11-07T14:15:02.742000+00:00,9859,19.0,70.0,0,148,0.7,924.6,33.0,1273
2025-11-07T14:16:02.742000+00:00,9859,19.1,70.0,0,166,0.5,924.6,33.1,1273
2025-11-07T14:17:02.752000+00:00,9859,19.2,69.0,0,0,0.4,924.5,35.2,1273
2025-11-07T14:18:02.745000+00:00,9859,19.4,69.0,0,175,0.0,924.5,36.0,1273
2025-11-07T14:19:02.748000+00:00,9859,19.5,68.0,0,217,0.6,924.4,36.0,1273
2025-11-07T14:20:02.755000+00:00,9859,19.5,69.0,0,181,0.7,924.4,35.8,1273
2025-11-07T14:21:02.751000+00:00,9859,19.5,68.0,0,178,1.1,924.4,35.8,1273
2025-11-07T14:22:02.746000+00:00,9859,19.5,68.0,0,162,1.6,924.4,35.5,1273
2025-11-07T14:23:02.749000+00:00,9859,19.4,70.0,0,246,1.3,924.3,35.5,1273
2025-11-07T14:24:02.758000+00:00,9859,19.4,69.0,0,242,0.5,924.3,35.5,1273
2025-11-07T14:25:02.755000+00:00,9859,19.4,69.0,0,118,0.5,924.2,35.5,1273
2025-11-07T14:26:02.765000+00:00,9859,19.4,68.0,0,166,1.0,924.2,35.3,1273
2025-11-07T14:27:02.752000+00:00,9859,19.3,68.0,0,217,1.0,924.2,35.6,1273
2025-11-07T14:28:02.751000+00:00,9859,19.4,68.0,0,129,0.8,924.2,35.8,1273
2025-11-07T14:29:02.764000+00:00,9859,19.5,69.0,0,167,1.3,924.2,37.1,1273
2025-11-07T14:30:02.762000+00:00,9859,19.6,69.0,0,0,1.1,924.2,37.1,1273
2025-11-07T14:31:02.765000+00:00,9859,19.7,69.0,0,150,0.5,924.1,35.9,1273
2025-11-07T14:32:02.766000+00:00,9859,19.7,69.0,0,132,0.6,924.2,35.8,1273
2025-11-07T14:33:02.754000+00:00,9859,19.6,68.0,0,170,0.8,924.2,35.8,1273
2025-11-07T14:34:02.769000+00:00,9859,19.6,68.0,0,195,0.8,924.2,35.4,1273
2025-11-07T14:35:02.771000+00:00,9859,19.6,68.0,0,172,1.1,924.3,35.3,1273
2025-11-07T14:36:02.768000+00:00,9859,19.7,68.0,0,211,0.9,924.1,35.9,1273
2025-11-07T14:37:02.757000+00:00,9859,19.8,70.0,0,181,0.7,924.2,36.3,1273
2025-11-07T14:38:02.776000+00:00,9859,19.9,69.0,0,181,1.5,924.1,37.8,1273
2025-11-07T14:39:02.770000+00:00,9859,19.9,69.0,0,180,1.4,924.1,38.4,1273
2025-11-07T14:40:02.773000+00:00,9859,19.9,69.0,0,200,2.1,924.1,38.6,1273
2025-11-07T14:41:02.769000+00:00,9859,20.0,69.0,0,155,1.3,924.1,38.8,1273
2025-11-07T14:42:02.768000+00:00,9859,20.0,69.0,0,201,1.4,924.0,39.2,1273
2025-11-07T14:43:02.772000+00:00,9859,20.0,69.0,0,160,0.8,924.0,39.9,1273
2025-11-07T14:44:02.773000+00:00,9859,20.0,69.0,0,124,1.6,924.0,40.3,1273
2025-11-07T14:45:02.771000+00:00,9859,20.1,68.0,0,121,1.0,923.9,40.5,1273
2025-11-07T14:46:02.787000+00:00,9859,20.2,68.0,0,151,1.2,924.0,41.4,1273
2025-11-07T14:47:02.806000+00:00,9859,20.3,68.0,0,191,1.2,924.0,41.3,1273
2025-11-07T14:48:02.826000+00:00,9859,20.1,68.0,0,188,1.1,923.9,41.3,1273
2025-11-07T14:49:02.833000+00:00,9859,20.3,69.0,0,187,2.3,924.0,41.3,1273
2025-11-07T14:50:02.827000+00:00,9859,20.2,69.0,0,176,1.5,923.9,41.3,1273
2025-11-07T14:51:02.827000+00:00,9859,20.1,69.0,0,111,1.0,923.9,41.8,1273
2025-11-07T14:52:02.840000+00:00,9859,20.1,69.0,0,176,1.3,923.8,42.3,1273
2025-11-07T14:53:02.827000+00:00,9859,20.2,68.0,0,193,0.7,923.8,42.3,1273
2025-11-07T14:54:02.838000+00:00,9859,20.2,67.0,0,212,0.8,923.7,42.6,1273
2025-11-07T14:55:02.854000+00:00,9859,20.1,68.0,0,111,1.1,923.7,42.5,1273
2025-11-07T14:56:02.873000+00:00,9859,20.1,68.0,0,120,0.5,923.7,42.3,1273
2025-11-07T14:57:02.872000+00:00,9859,20.3,68.0,0,200,1.1,923.5,42.7,1273
2025-11-07T14:58:02.877000+00:00,9859,20.3,69.0,0,215,1.8,923.5,42.9,1273
2025-11-07T14:59:02.872000+00:00,9859,20.3,70.0,0,178,1.3,923.5,43.1,1273
2025-11-07T15:00:02.890000+00:00,9859,20.3,69.0,0,195,1.3,923.4,43.3,1273
2025-11-07T15:01:02.910000+00:00,9859,20.4,68.0,0,181,1.8,923.3,43.7,1273
2025-11-07T15:02:02.919000+00:00,9859,20.4,68.0,0,161,1.1,923.3,43.8,1273
2025-11-07T15:03:02.907000+00:00,9859,20.4,68.0,0,195,1.2,923.4,44.0,1273
2025-11-07T15:04:02.915000+00:00,9859,20.3,69.0,0,187,0.9,923.4,44.0,1273
2025-11-07T15:05:02.911000+00:00,9859,20.4,68.0,0,311,1.2,923.3,44.3,1273
2025-11-07T15:06:02.910000+00:00,9859,20.4,68.0,0,177,1.6,923.3,44.7,1273
2025-11-07T15:07:02.916000+00:00,9859,20.5,68.0,0,39,0.8,923.3,45.1,1273
2025-11-07T15:08:02.912000+00:00,9859,20.6,66.0,0,191,0.9,923.3,45.6,1273
2025-11-07T15:09:02.911000+00:00,9859,20.7,66.0,0,178,1.4,923.3,44.5,1273
2025-11-07T15:10:02.911000+00:00,9859,20.8,67.0,0,230,0.8,923.3,44.5,1273
2025-11-07T15:11:02.911000+00:00,9859,20.8,67.0,0,194,1.0,923.2,45.3,1273
2025-11-07T15:12:02.909000+00:00,9859,20.9,68.0,0,86,1.6,923.2,45.3,1273
2025-11-07T15:13:02.912000+00:00,9859,21.0,66.0,0,176,1.8,923.1,45.8,1273
2025-11-07T15:14:02.945000+00:00,9859,21.0,66.0,0,189,1.4,923.1,46.1,1273
2025-11-07T15:15:02.941000+00:00,9859,21.0,67.0,0,170,1.8,923.0,45.6,1273
2025-11-07T15:16:02.958000+00:00,9859,21.1,67.0,0,151,1.5,923.2,46.1,1273
2025-11-07T15:17:02.974000+00:00,9859,21.1,67.0,0,134,0.7,923.1,46.2,1273
2025-11-07T15:18:02.979000+00:00,9859,21.1,67.0,0,189,1.6,923.1,46.2,1273
2025-11-07T15:19:02.977000+00:00,9859,21.1,68.0,0,193,2.1,923.1,45.9,1273
2025-11-07T15:20:02.972000+00:00,9859,21.0,68.0,0,142,1.6,923.1,45.9,1273
2025-11-07T15:21:02.968000+00:00,9859,20.9,67.0,0,146,0.7,923.1,46.3,1273
2025-11-07T15:22:02.973000+00:00,9859,20.9,66.0,0,206,1.7,923.0,47.2,1273
2025-11-07T15:23:02.987000+00:00,9859,20.9,67.0,0,165,1.3,922.9,46.2,1273
2025-11-07T15:24:03.002000+00:00,9859,20.9,66.0,0,149,1.6,922.9,46.0,1273
2025-11-07T15:25:02.997000+00:00,9859,20.8,67.0,0,185,1.4,922.9,46.1,1273
2025-11-07T15:26:03.015000+00:00,9859,20.8,67.0,0,172,0.9,922.9,46.5,1273
2025-11-07T15:27:03.016000+00:00,9859,20.9,66.0,0,178,0.9,922.9,47.3,1273
2025-11-07T15:28:03.029000+00:00,9859,21.0,66.0,0,202,1.5,922.9,46.9,1273
