date,session_key,meeting_key,humidity,rainfall,air_temperature,track_temperature,wind_speed,pressure,wind_direction
2025-10-18T16:16:23.461000+00:00,9883,1271,60.0,0,28.9,41.0,2.2,992.4,135
2025-10-18T16:17:23.456000+00:00,9883,1271,60.0,0,29.0,41.3,1.4,992.6,331
2025-10-18T16:18:23.460000+00:00,9883,1271,60.0,0,29.1,41.3,1.7,992.6,13
2025-10-18T16:19:23.451000+00:00,9883,1271,60.0,0,29.0,41.2,0.9,992.5,321
2025-10-18T16:20:23.452000+00:00,9883,1271,60.0,0,29.0,41.3,1.7,992.5,331
2025-10-18T16:21:23.457000+00:00,9883,1271,59.0,0,29.0,41.7,2.5,992.3,107
2025-10-18T16:22:23.466000+00:00,9883,1271,59.0,0,29.0,41.5,5.5,992.3,75
2025-10-18T16:23:23.454000+00:00,9883,1271,60.0,0,29.0,41.1,5.1,992.3,99
2025-10-18T16:24:23.451000+00:00,9883,1271,61.0,0,29.1,41.1,6.2,992.1,87
2025-10-18T16:25:23.459000+00:00,9883,1271,61.0,0,29.1,41.5,6.3,992.2,86
2025-10-18T16:26:23.468000+00:00,9883,1271,61.0,0,29.0,41.6,5.7,992.1,89
2025-10-18T16:27:23.460000+00:00,9883,1271,61.0,0,28.9,41.9,5.8,992.0,78
2025-10-18T16:28:23.476000+00:00,9883,1271,61.0,0,28.9,41.9,5.7,991.9,94
2025-10-18T16:29:23.479000+00:00,9883,1271,61.0,0,28.9,41.9,5.4,991.9,104
2025-10-18T16:30:23.474000+00:00,9883,1271,61.0,0,29.0,42.1,4.6,991.8,75
2025-10-18T16:31:23.477000+00:00,9883,1271,60.0,0,29.1,42.5,4.8,991.9,101
2025-10-18T16:32:23.480000+00:00,9883,1271,60.0,0,29.2,42.7,5.7,992.0,146
2025-10-18T16:33:23.491000+00:00,9883,1271,59.0,0,29.3,42.8,2.3,992.1,106
2025-10-18T16:34:23.480000+00:00,9883,1271,58.0,0,29.5,42.8,3.5,992.1,135
2025-10-18T16:35:23.499000+00:00,9883,1271,58.0,0,29.5,42.7,2.6,992.2,88
2025-10-18T16:36:23.508000+00:00,9883,1271,57.0,0,29.4,42.7,3.4,992.0,0
2025-10-18T16:37:23.509000+00:00,9883,1271,57.0,0,29.4,42.9,1.9,992.1,64
2025-10-18T16:38:23.522000+00:00,9883,1271,57.0,0,29.3,43.0,4.4,992.0,78
2025-10-18T16:39:23.535000+00:00,9883,1271,57.0,0,29.3,42.8,4.1,992.0,101
2025-10-18T16:40:23.530000+00:00,9883,1271,57.0,0,29.4,42.6,4.8,991.9,84
2025-10-18T16:41:23.552000+00:00,9883,1271,58.0,0,29.3,42.2,5.9,991.9,81
2025-10-18T16:42:23.554000+00:00,9883,1271,59.0,0,29.3,41.9,7.2,991.9,83
2025-10-18T16:43:23.578000+00:00,9883,1271,59.0,0,29.2,41.9,7.0,991.8,97
2025-10-18T16:44:23.574000+00:00,9883,1271,60.0,0,29.3,42.1,6.4,991.8,86
2025-10-18T16:45:23.576000+00:00,9883,1271,60.0,0,29.3,42.3,5.7,991.9,100
2025-10-18T16:46:23.596000+00:00,9883,1271,60.0,0,29.4,42.8,4.6,991.8,88
2025-10-18T16:47:23.615000+00:00,9883,1271,59.0,0,29.5,43.3,3.1,991.8,95
2025-10-18T16:48:23.616000+00:00,9883,1271,59.0,0,29.5,43.4,4.8,991.8,86
2025-10-18T16:49:23.601000+00:00,9883,1271,59.0,0,29.5,43.6,3.0,991.8,122
2025-10-18T16:50:23.619000+00:00,9883,1271,58.0,0,29.5,43.7,1.3,991.9,104
2025-10-18T16:51:23.629000+00:00,9883,1271,57.0,0,29.6,43.8,2.0,991.8,99
2025-10-18T16:52:23.639000+00:00,9883,1271,57.0,0,29.8,43.9,2.7,991.9,138
2025-10-18T16:53:23.626000+00:00,9883,1271,57.0,0,29.8,43.8,2.1,991.9,115
2025-10-18T16:54:23.647000+00:00,9883,1271,58.0,0,29.7,43.5,2.4,991.9,82
2025-10-18T16:55:23.665000+00:00,9883,1271,58.0,0,29.6,43.7,1.5,991.9,88
2025-10-18T16:56:23.662000+00:00,9883,1271,58.0,0,29.6,43.5,1.5,992.0,102
2025-10-18T16:57:23.683000+00:00,9883,1271,58.0,0,29.7,43.2,3.8,992.0,90
2025-10-18T16:58:23.700000+00:00,9883,1271,58.0,0,29.7,43.0,3.3,991.9,104
2025-10-18T16:59:23.701000+00:00,9883,1271,58.0,0,29.6,43.4,1.5,991.9,98
2025-10-18T17:00:23.721000+00:00,9883,1271,57.0,0,29.6,43.4,3.6,991.8,100
2025-10-18T17:01:23.731000+00:00,9883,1271,58.0,0,29.6,43.8,2.3,991.9,78
2025-10-18T17:02:23.736000+00:00,9883,1271,57.0,0,29.5,43.7,1.3,991.9,140
2025-10-18T17:03:23.750000+00:00,9883,1271,57.0,0,29.6,43.1,1.4,991.9,145
2025-10-18T17:04:23.751000+00:00,9883,1271,56.0,0,29.7,42.6,1.8,992.0,344
2025-10-18T17:05:23.751000+00:00,9883,1271,56.0,0,29.8,42.4,3.2,991.8,350
2025-10-18T17:06:23.747000+00:00,9883,1271,57.0,0,29.8,42.6,3.3,991.9,343
2025-10-18T17:07:23.754000+00:00,9883,1271,57.0,0,29.8,42.8,3.2,991.9,339
2025-10-18T17:08:23.747000+00:00,9883,1271,57.0,0,29.8,43.6,1.9,992.0,15
2025-10-18T17:09:23.752000+00:00,9883,1271,57.0,0,29.9,44.3,1.4,992.0,126
2025-10-18T17:10:23.753000+00:00,9883,1271,55.0,0,30.0,44.1,1.3,992.0,291
2025-10-18T17:11:23.755000+00:00,9883,1271,55.0,0,30.1,44.1,2.0,992.0,84
2025-10-18T17:12:23.763000+00:00,9883,1271,55.0,0,30.0,44.5,1.6,992.0,90
2025-10-18T17:13:23.753000+00:00,9883,1271,54.0,0,30.0,44.5,2.2,992.1,288
2025-10-18T17:14:23.750000+00:00,9883,1271,54.0,0,30.1,44.2,3.2,992.0,272
2025-10-18T17:15:23.750000+00:00,9883,1271,54.0,0,30.2,43.1,2.7,992.1,349
2025-10-18T17:16:23.751000+00:00,9883,1271,55.0,0,30.3,42.3,2.3,992.0,352
2025-10-18T17:17:23.757000+00:00,9883,1271,55.0,0,30.3,41.5,2.4,992.0,301
2025-10-18T17:18:23.745000+00:00,9883,1271,55.0,0,30.4,41.5,2.8,992.2,316
2025-10-18T17:19:23.764000+00:00,9883,1271,55.0,0,30.5,41.8,2.6,992.2,341
2025-10-18T17:20:23.750000+00:00,9883,1271,55.0,0,30.5,42.1,2.9,992.1,325
2025-10-18T17:21:23.748000+00:00,9883,1271,55.0,0,30.4,42.9,3.0,992.3,284
2025-10-18T17:22:23.755000+00:00,9883,1271,55.0,0,30.3,43.8,2.8,992.3,290
2025-10-18T17:23:23.762000+00:00,9883,1271,54.0,0,30.4,44.5,2.5,992.3,291
2025-10-18T17:24:23.769000+00:00,9883,1271,53.0,0,30.5,44.6,4.0,992.4,288
2025-10-18T17:25:23.766000+00:00,9883,1271,54.0,0,30.7,44.6,4.5,992.5,294
2025-10-18T17:26:23.770000+00:00,9883,1271,54.0,0,30.7,44.6,3.7,992.3,293
2025-10-18T17:27:23.760000+00:00,9883,1271,53.0,0,30.8,44.6,3.9,992.6,294
2025-10-18T17:28:23.767000+00:00,9883,1271,54.0,0,30.8,43.9,4.0,992.5,299
2025-10-18T17:29:23.769000+00:00,9883,1271,54.0,0,30.9,42.9,3.8,992.5,285
2025-10-18T17:30:23.769000+00:00,9883,1271,54.0,0,30.6,42.7,2.9,992.5,300
2025-10-18T17:31:23.767000+00:00,9883,1271,55.0,0,30.6,42.7,2.4,992.6,22
2025-10-18T17:32:23.765000+00:00,9883,1271,54.0,0,30.5,42.2,2.8,992.5,327
2025-10-18T17:33:23.784000+00:00,9883,1271,53.0,0,30.6,42.7,2.1,992.4,320
2025-10-18T17:34:23.783000+00:00,9883,1271,53.0,0,30.7,43.4,3.3,992.5,316
2025-10-18T17:35:23.804000+00:00,9883,1271,52.0,0,30.7,42.9,2.9,992.6,340
2025-10-18T17:36:23.816000+00:00,9883,1271,53.0,0,30.8,41.7,2.8,992.4,296
2025-10-18T17:37:23.820000+00:00,9883,1271,53.0,0,30.8,41.2,3.5,992.3,5
2025-10-18T17:38:23.838000+00:00,9883,1271,53.0,0,30.6,40.9,2.5,992.4,349
2025-10-18T17:39:23.847000+00:00,9883,1271,54.0,0,30.5,40.5,2.9,992.4,309
2025-10-18T17:40:23.832000+00:00,9883,1271,54.0,0,30.3,40.6,1.8,992.2,291
2025-10-18T17:41:23.856000+00:00,9883,1271,54.0,0,30.3,40.8,2.3,992.3,302
2025-10-18T17:42:23.862000+00:00,9883,1271,53.0,0,30.3,41.1,3.0,992.3,330
2025-10-18T17:43:23.881000+00:00,9883,1271,52.0,0,30.3,40.5,3.1,992.3,320
2025-10-18T17:44:23.904000+00:00,9883,1271,53.0,0,30.3,40.0,2.5,992.2,331
