date,session_key,track_temperature,pressure,meeting_key,humidity,wind_direction,wind_speed,air_temperature,rainfall
2025-09-20T08:16:43.647000+00:00,9899,31.9,1012.1,1269,57.0,128,2.5,21.9,0
2025-09-20T08:17:43.645000+00:00,9899,31.8,1012.1,1269,58.0,152,2.6,22.0,0
2025-09-20T08:18:43.645000+00:00,9899,31.8,1012.0,1269,58.0,147,2.5,22.0,0
2025-09-20T08:19:43.645000+00:00,9899,32.5,1012.1,1269,58.0,73,2.2,21.9,0
2025-09-20T08:20:43.657000+00:00,9899,32.8,1012.0,1269,58.0,251,3.1,21.9,0
2025-09-20T08:21:43.642000+00:00,9899,33.1,1012.3,1269,57.0,210,1.7,21.8,0
2025-09-20T08:22:43.646000+00:00,9899,33.2,1012.2,1269,57.0,67,2.4,21.8,0
2025-09-20T08:23:43.655000+00:00,9899,33.3,1012.0,1269,58.0,91,3.8,21.8,0
2025-09-20T08:24:43.647000+00:00,9899,33.2,1012.0,1269,58.0,168,1.6,21.8,0
2025-09-20T08:25:43.688000+00:00,9899,33.4,1012.3,1269,58.0,96,2.2,21.9,0
2025-09-20T08:26:43.647000+00:00,9899,33.2,1012.1,1269,58.0,215,4.3,21.9,0
2025-09-20T08:27:43.657000+00:00,9899,33.5,1012.2,1269,58.0,92,3.4,21.9,0
2025-09-20T08:28:43.644000+00:00,9899,33.2,1012.3,1269,58.0,338,1.7,21.9,0
2025-09-20T08:29:43.657000+00:00,9899,33.5,1012.2,1269,58.0,174,1.9,22.0,0
2025-09-20T08:30:43.648000+00:00,9899,33.6,1012.2,1269,58.0,333,1.8,22.0,0
2025-09-20T08:31:43.667000+00:00,9899,33.8,1012.2,1269,58.0,89,2.4,22.1,0
2025-09-20T08:32:43.707000+00:00,9899,33.9,1012.4,1269,58.0,192,1.4,22.1,0
2025-09-20T08:33:43.659000+00:00,9899,33.9,1012.2,1269,58.0,244,0.7,22.0,0
2025-09-20T08:34:43.659000+00:00,9899,34.2,1012.3,1269,58.0,91,2.0,22.0,0
2025-09-20T08:35:43.667000+00:00,9899,33.8,1012.2,1269,58.0,41,3.1,22.1,0
2025-09-20T08:36:43.652000+00:00,9899,34.1,1012.3,1269,58.0,275,3.9,22.1,0
2025-09-20T08:37:43.661000+00:00,9899,34.4,1012.2,1269,57.0,74,2.8,22.0,0
2025-09-20T08:38:43.661000+00:00,9899,34.4,1012.3,1269,58.0,49,2.2,22.0,0
2025-09-20T08:39:43.662000+00:00,9899,34.6,1012.3,1269,57.0,91,1.9,22.0,0
2025-09-20T08:40:43.668000+00:00,9899,34.5,1012.3,1269,57.0,58,2.9,22.0,0
2025-09-20T08:41:43.692000+00:00,9899,34.3,1012.3,1269,57.0,74,1.7,22.0,0
2025-09-20T08:42:43.683000+00:00,9899,34.4,1012.6,1269,57.0,193,2.5,22.0,0
2025-09-20T08:43:43.669000+00:00,9899,34.8,1012.3,1269,57.0,167,2.3,22.0,0
2025-09-20T08:44:43.667000+00:00,9899,34.8,1012.4,1269,57.0,86,2.0,22.1,0
2025-09-20T08:45:43.671000+00:00,9899,35.3,1012.3,1269,56.0,242,1.8,22.1,0
2025-09-20T08:46:43.672000+00:00,9899,34.8,1012.2,1269,56.0,81,1.4,22.1,0
2025-09-20T08:47:43.664000+00:00,9899,34.9,1012.4,1269,56.0,202,3.3,22.3,0
2025-09-20T08:48:43.672000+00:00,9899,35.5,1012.3,1269,56.0,104,1.9,22.3,0
2025-09-20T08:49:43.684000+00:00,9899,35.5,1012.4,1269,55.0,66,0.7,22.3,0
2025-09-20T08:50:43.687000+00:00,9899,35.5,1012.4,1269,55.0,203,2.4,22.3,0
2025-09-20T08:51:43.688000+00:00,9899,35.7,1012.4,1269,54.0,237,3.1,22.4,0
2025-09-20T08:52:43.707000+00:00,9899,35.7,1012.4,1269,54.0,216,2.1,22.5,0
2025-09-20T08:53:43.730000+00:00,9899,35.6,1012.4,1269,54.0,80,1.9,22.7,0
2025-09-20T08:54:43.737000+00:00,9899,35.5,1012.4,1269,54.0,39,2.1,22.6,0
2025-09-20T08:55:43.753000+00:00,9899,35.8,1012.4,1269,54.0,87,1.3,22.7,0
2025-09-20T08:56:43.773000+00:00,9899,36.0,1012.3,1269,54.0,230,1.5,22.7,0
2025-09-20T08:57:43.816000+00:00,9899,36.3,1012.4,1269,53.0,69,1.9,22.7,0
2025-09-20T08:58:43.768000+00:00,9899,36.2,1012.3,1269,53.0,4,0.9,22.8,0
2025-09-20T08:59:43.765000+00:00,9899,36.0,1012.5,1269,52.0,3,2.0,22.7,0
2025-09-20T09:00:43.774000+00:00,9899,35.4,1012.4,1269,53.0,18,1.9,22.7,0
2025-09-20T09:01:43.773000+00:00,9899,34.2,1012.5,1269,53.0,186,1.4,22.6,0
2025-09-20T09:02:43.779000+00:00,9899,33.8,1012.3,1269,53.0,57,1.3,22.5,0
2025-09-20T09:03:43.790000+00:00,9899,33.4,1012.5,1269,53.0,353,1.9,22.5,0
2025-09-20T09:04:43.794000+00:00,9899,33.3,1012.4,1269,54.0,211,1.9,22.5,0
2025-09-20T09:05:43.802000+00:00,9899,33.4,1012.4,1269,53.0,209,1.8,22.4,0
2025-09-20T09:06:43.800000+00:00,9899,33.3,1012.5,1269,54.0,170,1.3,22.3,0
2025-09-20T09:07:43.804000+00:00,9899,32.8,1012.5,1269,54.0,172,1.5,22.2,0
2025-09-20T09:08:43.804000+00:00,9899,33.2,1012.3,1269,54.0,105,1.1,22.1,0
2025-09-20T09:09:43.810000+00:00,9899,33.1,1012.4,1269,54.0,142,1.9,22.1,0
